date_only,0,1,2,3,boats_fishing
6/5/25,71,36,128,93,497
6/6/25,12,29,188,70,377
6/7/25,16,33,180,133,506
6/8/25,44,,256,51,516
6/9/25,40,39,301,76,587
6/10/25,70,52,258,29,585
6/11/25,82,18,369,14,726
6/13/25,73,19,240,,543
6/14/25,12,26,68,41,251
6/15/25,69,30,243,84,619
6/16/25,65,43,153,9,387
6/17/25,36,15,104,118,335
6/18/25,9,10,49,7,107
6/19/25,3,5,69,10,127
6/20/25,,5,16,78,106
6/21/25,1,11,15,36,69
6/22/25,,4,40,27,81
6/23/25,2,,18,11,35
6/24/25,29,16,26,22,103
6/25/25,3,26,103,27,188
6/26/25,7,6,95,,128
6/27/25,19,26,181,58,347
6/28/25,13,46,208,32,407
6/29/25,48,33,151,34,395
6/30/25,21,36,105,71,306
7/1/25,28,31,202,91,486
7/2/25,58,32,141,37,447
7/3/25,7,58,345,75,659
7/4/25,78,47,88,116,439
7/5/25,39,64,136,135,519
7/6/25,64,68,187,123,650
7/7/25,71,57,127,73,457
7/8/25,76,,45,14,195
7/9/25,2,19,40,2,155
7/18/25,5,16,17,7,55
7/31/25,92,44,159,105,575
8/1/25,66,17,189,100,518
8/2/25,72,31,190,133,598
8/3/25,98,46,190,112,580
8/4/25,88,49,148,143,531
8/5/25,45,18,84,108,341
8/6/25,85,39,200,84,497
8/7/25,93,42,299,98,730
8/8/25,44,30,236,36,470
8/9/25,134,51,240,69,639
8/10/25,123,56,215,151,712
8/11/25,143,57,287,98,745
8/12/25,119,55,255,45,663
8/13/25,106,57,284,105,804
8/14/25,98,59,217,136,733
8/15/25,116,34,154,72,460
8/16/25,91,23,171,126,511
8/17/25,38,27,104,8,231
8/18/25,8,17,49,83,180
8/19/25,,27,5,16,59
8/20/25,31,21,50,4,121
8/21/25,27,15,79,29,197
8/22/25,6,16,26,,105
8/23/25,4,11,34,53,174
8/24/25,44,27,97,111,333
8/25/25,66,15,51,,159
8/26/25,7,33,54,107,250
8/27/25,,46,34,58,220
8/28/25,1,21,101,127,335
8/29/25,3,5,136,26,220
8/30/25,2,7,229,81,406
8/31/25,77,15,119,69,352
9/6/25,66,29,113,151,437
9/7/25,79,46,227,6,514
9/8/25,62,56,225,97,606
9/9/25,64,41,272,129,683
9/10/25,50,50,303,112,726
9/11/25,,43,58,106,253
9/12/25,1,,1,15,32
9/13/25,1,,11,11,45
9/14/25,,2,1,23,38
9/15/25,2,1,2,39,49
9/16/25,,1,3,,5
9/17/25,,2,8,,11
9/18/25,,,1,14,17
9/19/25,,,1,1,2
9/20/25,,14,26,19,66
9/21/25,4,25,82,27,159
9/22/25,14,18,110,22,234
9/23/25,34,32,178,46,365
9/25/25,16,28,168,49,302
10/3/25,57,29,178,72,497
10/4/25,47,22,136,126,444
10/5/25,19,32,93,155,409
10/6/25,36,43,223,148,688
10/7/25,36,45,283,147,749
10/8/25,48,40,268,128,693
10/9/25,51,40,240,141,678
10/10/25,47,59,253,100,706
10/11/25,50,53,172,51,524
10/12/25,53,34,162,122,447
10/13/25,46,40,150,111,418
10/14/25,19,14,63,50,182
10/15/25,,2,39,79,134
10/16/25,1,18,39,25,97
10/17/25,,,79,5,123
10/18/25,,2,34,5,50
10/19/25,,2,46,17,83
10/20/25,1,7,7,,21
10/26/25,17,6,20,,70
11/1/25,54,61,160,128,614
11/2/25,93,72,238,90,742
11/20/25,4,7,164,25,370
11/21/25,57,24,68,56,274
11/22/25,52,17,117,67,337
11/23/25,77,20,109,24,335
11/24/25,81,25,225,60,520
11/25/25,96,2,310,53,627
11/26/25,91,13,262,50,581
11/27/25,82,7,267,30,642
11/28/25,77,13,61,29,297
11/29/25,13,,65,35,199
11/30/25,18,,16,28,107
12/1/25,83,22,33,53,308
12/2/25,78,32,201,22,570
12/3/25,110,26,230,67,735
12/4/25,98,22,276,96,778
12/5/25,122,32,250,65,651
12/6/25,127,14,209,35,566
12/7/25,116,17,189,9,448
12/8/25,65,7,104,33,294
12/9/25,61,7,86,63,319
12/10/25,14,1,85,2,158
12/11/25,39,3,26,13,113
12/12/25,36,8,74,23,172
12/13/25,13,2,47,20,102
12/14/25,39,6,5,49,102
12/15/25,17,2,,9,30
12/16/25,13,,2,1,16
12/17/25,23,1,1,7,40
12/18/25,3,8,14,43,81
12/19/25,19,9,22,66,129
12/20/25,16,10,10,17,73
12/21/25,,9,26,48,116
12/22/25,9,7,18,31,112
12/23/25,46,13,30,11,136
12/25/25,71,13,16,6,176
12/25/25,24,10,84,7,235
12/26/25,50,,127,5,248
12/27/25,25,,120,31,250
12/28/25,48,10,49,6,198
12/29/25,44,1,43,11,172
12/30/25,54,6,117,7,347
12/31/25,39,8,45,2,165
