Typhoon,Ave. Stm Speed (knot),Date Range,G0 Distance (km),G0 (Boat Diff%),G1 Distance (km),G1 (Boat Diff%),G2 Distance (km),G2 (Boat Diff%),G3 Distance (km),G3 (Boat Diff%),G4 Distance (km),G4 (Boat Diff%),G5 Distance (km),G5 (Boat Diff%)
Ave Daily Boats,,,,44.0,,19.0,,2.0,,133.0,,58.0,,14.0
Gaemi,8.34,2024-07-19 to 2024-07-23,1420.66,-100.0,1412.28,-31.58,1157.1,-100.0,737.6,-98.5,1301.2,13.79,818.96,-100.0
Yagi,8.44,2024-09-01 to 2024-09-05,973.94,-18.18,1123.28,-73.68,779.06,-100.0,655.5,-99.25,1220.38,22.41,973.26,-85.71
Soulik,11.1,2024-09-15 to 2024-09-18,951.47,-100.0,1138.18,-89.47,787.8,-100.0,724.65,-97.74,1275.12,-100.0,1025.8,-100.0
Trami,10.06,2024-10-21 to 2024-10-25,1037.48,-52.27,1115.12,-94.74,813.6,-100.0,547.2,-100.0,1093.78,-56.9,718.1,-100.0
Kong-Rey,8.7,2024-10-27 to 2024-10-31,1511.98,72.73,1546.62,63.16,1258.62,-100.0,893.02,-58.65,1463.28,155.17,994.68,-42.86
Toraji,11.25,2024-11-09 to 2024-11-12,1104.7,-65.91,1174.35,-21.05,867.18,-100.0,591.85,-30.08,1171.32,72.41,808.1,-78.57
Usagi,11.7,2024-11-13 to 2024-11-14,1127.25,-34.09,1191.1,121.05,873.15,-100.0,546.35,-83.46,1171.5,62.07,740.5,-100.0
Man-Yi,11.74,2024-11-15 to 2024-11-19,1003.24,-50.0,1100.74,-73.68,815.84,-100.0,614.46,-93.98,1126.76,-55.17,816.7,-100.0
Pabuk,5.2,2024-12-21 to 2024-12-22,44.0,-100.0,383.05,-68.42,307.0,-100.0,808.8,-75.19,830.2,-20.69,1161.3,-100.0
